f	d	N	Distance	Dual Distance	Optimal	Optimal Dual	Relator	Dual Relator
4.	5.	660.	8.	10.	0.	1.	a*b*a^-1*b^-1*(b^-1*a)^2*a*b^2*a^-1*b*(a*b^-1)^2*b^-2*a^2*b^-1 	a*b*a^-1*b^-1*(b^-1*a)^2*a*b^2*a^-1*b*(a*b^-1)^2*b^-2*a^2*b^-1 
4.	5.	1800.	10.	10.	1.	0.	(b^-1*a^-1*b*a^-2)^2*b^-1*a^2*b*a^-1*(a^-1*b^2)^2*a^-1*b*a^2*b^-1 	(b^-1*a^-1*b*a^-2)^2*b^-1*a^2*b*a^-1*(a^-1*b^2)^2*a^-1*b*a^2*b^-1 
4.	5.	1920.	10.	12.	0.	1.	b^-1*a*b^3*(a*b^-1)^3*b^-1*a^-3*b^-2*a*b^-2*a^-1*b*a^2*b^3*a^-1*b^-1 	b^-1*a*b^3*(a*b^-1)^3*b^-1*a^-3*b^-2*a*b^-2*a^-1*b*a^2*b^3*a^-1*b^-1 
4.	5.	3420.	10.	14.	0.	1.	a^2*b^3*(a*b^-1*a)^2*b^-1*a^-1*b*a*b^-1*a^2*b^-1*a^-3*b*a^-1*b^-1*(b^-1*a)^2*b*a^2*b^-1	a^2*b^3*(a*b^-1*a)^2*b^-1*a^-1*b*a*b^-1*a^2*b^-1*a^-3*b*a^-1*b^-1*(b^-1*a)^2*b*a^2*b^-1
4.	5.	4860.	12.	12.	1.	0.	(b*a)^2*b^-2*a^-1*b*a^-1*(b^-1*a)^2*a*b^2*a^-2*b^-3*a^-2*(b^-2*a)^2*b^-3*a^4*(b*a^-1*b)^2*b^2*a 	(b*a)^2*b^-2*a^-1*b*a^-1*(b^-1*a)^2*a*b^2*a^-2*b^-3*a^-2*(b^-2*a)^2*b^-3*a^4*(b*a^-1*b)^2*b^2*a 
4.	5.	17100.	14.	16.	1.	1.	a*b^2*a^-1*(b^-1*a)^2*b^3*a*b^-1*a^2*b^-3*a*(b^-1*a^-2*b^-1)^2*b^-2*a^2*b^-1*a^-3*b^2*a^-1*b^-1 	a*b^2*a^-1*(b^-1*a)^2*b^3*a*b^-1*a^2*b^-3*a*(b^-1*a^-2*b^-1)^2*b^-2*a^2*b^-1*a^-3*b^2*a^-1*b^-1 
4.	5.	29400.	14.	17.	0.	1.	a^-2*b^-1*a^2*b^-2*a*b^-1*a^-1*b*a*b^-2*a^2*b^-1*(a^-1*b)^2*a*b^-1*a^-2*(b*a)^2*b*a^-1*b^-1*(b^-1*a^2)^2*b^2*a*b^-1*a^2*b^-3*a^-1 	a^-2*b^-1*a^2*b^-2*a*b^-1*a^-1*b*a*b^-2*a^2*b^-1*(a^-1*b)^2*a*b^-1*a^-2*(b*a)^2*b*a^-1*b^-1*(b^-1*a^2)^2*b^2*a*b^-1*a^2*b^-3*a^-1 
4.	5.	58800.	14.	18.	0.	1.	a*b*(b*a^3)^2*b^-2*a*b^-2*a^-1*b^-2*(b^-1*a^2)^2*a^2*b^-1*a^-1*b^2*a*b^2*a^-1*b^-1*a^-1*(a^-1*b)^2*a^-1*b^-3*a^-2*b*a^2	a*b*(b*a^3)^2*b^-2*a*b^-2*a^-1*b^-2*(b^-1*a^2)^2*a^2*b^-1*a^-1*b^2*a*b^2*a^-1*b^-1*a^-1*(a^-1*b)^2*a^-1*b^-3*a^-2*b*a^2
4.	6.	336.	6.	8.	1.	1.	b^-2*a^-2*b^2*a^-1*b^-2*a*b^2*(a*b^-1)^2 	b^-2*a^-2*b^2*a^-1*b^-2*a*b^2*(a*b^-1)^2 
4.	6.	660.	6.	9.	0.	1.	b^-1*a^-2*b^-2*a*b^-1*a^-3*b^-2*(b^-1*a)^3*b^2*a	b^-1*a^-2*b^-2*a*b^-1*a^-3*b^-2*(b^-1*a)^3*b^2*a
4.	6.	720.	8.	8.	1.	0.	a^-1*b^-1*a*b*a^-1*b^3*a*b^-1*a*b^3*a^2*b^2*a^-1*b^2*a*b^-1*a^3	a^-1*b^-1*a*b*a^-1*b^3*a*b^-1*a*b^3*a^2*b^2*a^-1*b^2*a*b^-1*a^3
4.	6.	864.	8.	10.	0.	1.	a*b^-3*a^-1*b*a*b^-1*a^2*b^3*a^-2*b^2*a 	a*b^-3*a^-1*b*a*b^-1*a^2*b^3*a^-2*b^2*a 
4.	6.	2448.	8.	12.	0.	1.	b*a*b^-1*a^-3*(b^-1*a*b^-2)^2*a^3*(b*a^-1)^2*b^-2*a^-1*b^2*a^-1 	b*a*b^-1*a^-3*(b^-1*a*b^-2)^2*a^3*(b*a^-1)^2*b^-2*a^-1*b^2*a^-1 
